authors,paperId,title,venue,year,no_citations,abstract
"O. Aichholzer, M. Hoffmann, Johannes Obenaus, Rosna Paul, Daniel Perz, Nadja Seiferth, B. Vogtenhuber, A. Weinberger",a4e6ca08d9bf64629bdda53365234b05fc58b9d5,Plane Spanning Trees in Edge-Colored Simple Drawings of Kn,Graph Drawing,2020.0,0,"Karolyi, Pach, and Toth proved that every 2-edge-colored straight-line drawing of the complete graph contains a monochromatic plane spanning tree. It is open if this statement generalizes to other classes of drawings, specifically, to simple drawings of the complete graph. These are drawings where edges are represented by Jordan arcs, any two of which intersect at most once. We present two partial results towards such a generalization. First, we show that the statement holds for cylindrical simple drawings. (In a cylindrical drawing, all vertices are placed on two concentric circles and no edge crosses either circle.) Second, we introduce a relaxation of the problem in which the graph is $k$-edge-colored, and the target structure must be hypochromatic, that is, avoid (at least) one color class. In this setting, we show that every $\lceil (n+5)/6\rceil$-edge-colored monotone simple drawing of $K_n$ contains a hypochromatic plane spanning tree. (In a monotone drawing, every edge is represented as an $x$-monotone curve.)"
"Ushasi Chaudhuri, Biplab Banerjee, A. Bhattacharya, M. Datcu",5aa194c1d0dad1f689c7c222135e93fa011a985e,A Zero-Shot Sketch-based Inter-Modal Object Retrieval Scheme for Remote Sensing Images,ArXiv,2020.0,0,"Conventional existing retrieval methods in remote sensing (RS) are often based on a uni-modal data retrieval framework. In this work, we propose a novel inter-modal triplet-based zero-shot retrieval scheme utilizing a sketch-based representation of RS data. The proposed scheme performs efficiently even when the sketch representations are marginally prototypical of the image. We conducted experiments on a new bi-modal image-sketch dataset called Earth on Canvas (EoC) conceived during this study. We perform a thorough bench-marking of this dataset and demonstrate that the proposed network outperforms other state-of-the-art methods for zero-shot sketch-based retrieval framework in remote sensing."
"Xiaoyu Li, Bo Zhang, Jing Liao, P. Sander",034300b0576f3291c8bb5f29bd9ef221d4244c6b,Deep Sketch-guided Cartoon Video Synthesis,ArXiv,2020.0,0,"We propose a novel framework to produce cartoon videos by fetching the color information from two input keyframes while following the animated motion guided by a user sketch. The key idea of the proposed approach is to estimate the dense cross-domain correspondence between the sketch and cartoon video frames, following by a blending module with occlusion estimation to synthesize the middle frame guided by the sketch. After that, the inputs and the synthetic frame equipped with established correspondence are fed into an arbitrary-time frame interpolation pipeline to generate and refine additional inbetween frames. Finally, a video post-processing approach is used to further improve the result. Compared to common frame interpolation methods, our approach can address frames with relatively large motion and also has the flexibility to enable users to control the generated video sequences by editing the sketch guidance. By explicitly considering the correspondence between frames and the sketch, our methods can achieve high-quality synthetic results compared with image synthesis methods. Our results show that our system generalizes well to different movie frames, achieving better results than existing solutions."
"Nan Zhuang, Cheng Yang",27e0aabd3e58413f6796bbc820a416875591b169,Few-shot Knowledge Transfer for Fine-grained Cartoon Face Generation,ArXiv,2020.0,0,"In this paper, we are interested in generating fine-grained cartoon faces for various groups. We assume that one of these groups consists of sufficient training data while the others only contain few samples. Although the cartoon faces of these groups share similar style, the appearances in various groups could still have some specific characteristics, which makes them differ from each other. A major challenge of this task is how to transfer knowledge among groups and learn group-specific characteristics with only few samples. In order to solve this problem, we propose a two-stage training process. First, a basic translation model for the basic group (which consists of sufficient data) is trained. Then, given new samples of other groups, we extend the basic model by creating group-specific branches for each new group. Group-specific branches are updated directly to capture specific appearances for each group while the remaining group-shared parameters are updated indirectly to maintain the distribution of intermediate feature space. In this manner, our approach is capable to generate high-quality cartoon faces for various groups."
"Benjamin W. Priest, Alec M. Dunton, G. Sanders",3121e21bc64f8413a327582605ccdc131ea534ec,Scaling Graph Clustering with Distributed Sketches,2020 IEEE High Performance Extreme Computing Conference (HPEC),2020.0,0,"The unsupervised learning of community structure, in particular the partitioning vertices into clusters or communities, is a canonical and well-studied problem in exploratory graph analysis. However, like most graph analyses the introduction of immense scale presents challenges to traditional methods. Spectral clustering in distributed memory, for example, requires hundreds of expensive bulk-synchronous communication rounds to compute an embedding of vertices to a few eigenvectors of a graph associated matrix. Furthermore, the whole computation might need to be repeated if the underlying graph changes some low percentage of edge updates. We present a method inspired by spectral clustering where we instead use matrix sketches derived from random dimension-reducing projections. We show that our method produces embeddings that yield performant clustering results given a fully-dynamic stochastic block model stream using both the fast Johnson-Lindenstrauss and CountSketch transforms. We also discuss the effects of stochastic block model parameters upon the required dimensionality of the subsequent embeddings, and show how random projections could significantly improve the performance of graph clustering in distributed memory."
"O. Giudice, Dario Allegra, Francesco Guarnera, F. Stanco, S. Battiato",14888e1b2a21c16cbe7497cb9313eb8f46568e5b,Animated Gif Optimization By Adaptive Color Local Table Management,2020 IEEE International Conference on Image Processing (ICIP),2020.0,0,"After thirty years of the GIF file format, today is becoming more popular than ever: being a great way of communication for friends and communities on Instant Messengers and Social Networks. While being so popular, the original compression method to encode GIF images have not changed a bit. On the other hand popularity means that storage saving becomes an issue for hosting platforms. In this paper a parametric optimization technique for animated GIFs will be presented. The proposed technique is based on Local Color Table selection and color remapping in order to create optimized animated GIFs while preserving the original format. The technique achieves good results in terms of byte reduction with limited or no loss of perceived color quality. Tests carried out on 1000 GIF files demonstrate the effectiveness of the proposed optimization strategy."
"Peng Xu, Yongye Huang, Tongtong Yuan, Tao Xiang, Timothy M. Hospedales, Yi-Zhe Song, Liang Wang",4ff9df1d2a289a3cb04cbb129cdcb8a5d9085f94,On Learning Semantic Representations for Million-Scale Free-Hand Sketches,ArXiv,2020.0,0,"In this paper, we study learning semantic representations for million-scale free-hand sketches. This is highly challenging due to the domain-unique traits of sketches, e.g., diverse, sparse, abstract, noisy. We propose a dual-branch CNNRNN network architecture to represent sketches, which simultaneously encodes both the static and temporal patterns of sketch strokes. Based on this architecture, we further explore learning the sketch-oriented semantic representations in two challenging yet practical settings, i.e., hashing retrieval and zero-shot recognition on million-scale sketches. Specifically, we use our dual-branch architecture as a universal representation framework to design two sketch-specific deep models: (i) We propose a deep hashing model for sketch retrieval, where a novel hashing loss is specifically designed to accommodate both the abstract and messy traits of sketches. (ii) We propose a deep embedding model for sketch zero-shot recognition, via collecting a large-scale edge-map dataset and proposing to extract a set of semantic vectors from edge-maps as the semantic knowledge for sketch zero-shot domain alignment. Both deep models are evaluated by comprehensive experiments on million-scale sketches and outperform the state-of-the-art competitors."
"D. Shamma, Anthony Dunnigan, L. Kennedy",04187259522208047aa862defba3fe4344b9b3f8,Automatic Photo to Ideophone Manga Matching,ArXiv,2020.0,0,"Photo applications offer tools for annotation via text and stickers. Ideophones, mimetic and onomatopoeic words, which are common in graphic novels, have yet to be explored for photo annotation use. We present a method for automatic ideophone recommendation and positioning of the text on photos. These annotations are accomplished by obtaining a list of ideophones with English definitions and applying a suite of visual object detectors to the image. Next, a semantic embedding maps the visual objects to the possible relevant ideophones. Our system stands in contrast to traditional computer vision-based annotation systems, which stop at recommending object and scene-level annotation, by providing annotations that are communicative, fun, and engaging. We test these annotations in Japanese and find they carry a strong preference and increase enjoyment and sharing likelihood when compared to unannotated and object-based annotated photos."
"L.S.Pilyugin, E.K.Grebel, I.A.Zinchenko, M.A.Lara-Lopez, Y.A.Nefedyev, V.M.Shulga",84968a1d0b671c847b6e095696d5b1228d278c00,Circumnuclear regions of different BPT types in star-forming MaNGA galaxies: AGN detectability,,2020.0,0,"We consider the circumnuclear regions of star-forming MaNGA galaxies. The spaxels spectra are classified as active-galactic-nucleuslike (AGN-like), H II-region-like (or SF-like), and intermediate (INT) spectra according to their positions on the Baldwin-PhillipsTerlevich (BPT) diagram. There are the following four configurations of the radiation distributions in the circumnuclear regions in (massive) galaxies: 1) AGN+INT, the innermost region of the AGN-like radiation is surrounded by a ring of radiation of the intermediate type; 2) INT, the central area of radiation of the intermediate type; 3) SF+INT, the inner region of the H II-region-like radiation is surrounded by a ring of radiation of the intermediate type; and 4) SF, the central area of the H II-region-like radiation only. The low ionization nuclear emission line regions (LINERs) of configurations 1 and 2 are examined. The spaxel spectra of the LINERs form a sequences on the BPT diagram, that is, they lie along the known AGN-SF mixing line trajectories. The diagnostic line ratios of the spaxels spectra change smoothly with radius, from AGN-like (or INT) line ratios at the galactic center to H II-region-like at larger galactocentric distances. This is in agreement with the paradigm that the LINERs are excited by AGN activity. We found that the AGN and INT radiation in the circumnuclear region is accompanied by an enhanced gas velocity dispersion σgas. The radius of the area of the AGN and INT radiation is similar to the radius of the area with enhanced σgas, and the central σgas,c correlates with the luminosity of the AGN+INT area. We assume that the gas velocity dispersion can serve as an indicator of the AGN activity. An appreciable enhancement of σgas,c was also measured in the SF-type centers of massive galaxies. The values of σgas,c for the SF-type centers partly overlap with those of the AGN-type centers. This suggests that the manifestation of the circumnuclear region as AGN or as SF on the BPT diagram depends not only on the value of σgas,c (the level of the AGN activity) but it is also governed by an additional parameter(s). We find that there is a demarcation line between the positions of the AGN-type and SF-type objects on the central gas velocity dispersion – central Hα surface brightness diagram, in the sense that an object with a given value of σgas,c is an AGN-type only if the central Hα surface brightness is lower than some value."
"Filip Andersson, Simon Arvidsson",56c2089a44c576a05d340d4dc14afa61d7e016df,Generative Adversarial Networks for photo to Hayao Miyazaki style cartoons,ArXiv,2020.0,0,"This paper takes on the problem of transferring the style of cartoon images to real-life photographic images by implementing previous work done by CartoonGAN. We trained a Generative Adversial Network(GAN) on over 60 000 images from works by Hayao Miyazaki at Studio Ghibli. To evaluate our results, we conducted a qualitative survey comparing our results with two state-of-the-art methods. 117 survey results indicated that our model on average outranked state-of-the-art methods on cartoon-likeness."
"Manish Bhattarai, D. Oyen, J. Castorena, Liping Yang, B. Wohlberg",c26752aa3969fe3a94005090f1cb705a50fb58d7,Diagram Image Retrieval using Sketch-Based Deep Learning and Transfer Learning,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2020.0,0,"Resolution of the complex problem of image retrieval for diagram images has yet to be reached. Deep learning methods continue to excel in the fields of object detection and image classification applied to natural imagery. However, the application of such methodologies applied to binary imagery remains limited due to lack of crucial features such as textures,color and intensity information. This paper presents a deep learning based method for image-based search for binary patent images by taking advantage of existing large natural image repositories for image search and sketch-based methods (Sketches are not identical to diagrams, but they do share some characteristics; for example, both imagery types are gray scale (binary), composed of contours, and are lacking in texture). We begin by using deep learning to generate sketches from natural images for image retrieval and then train a second deep learning model on the sketches. We then use our small set of manually labeled patent diagram images via transfer learning to adapt the image search from sketches of natural images to diagrams. Our experiment results show the effectiveness of deep learning with transfer learning for detecting near-identical copies in patent images and querying similar images based on content."
"Zhang Qian, Wang Bo, Wen Wei, Li Hai, L. Hui",88da334b236cd2acec9b452aacfb57450a63b7a3,Line Art Correlation Matching Network for Automatic Animation Colorization,,2020.0,0,"Automatic animation line art colorization is a challenging computer vision problem since line art is a highly sparse and abstracted information and there exists a strict requirement for the color and style consistency between frames. Recently, a lot of GAN(Generative Adversarial Network) based image-to-image transfer method for single line art colorization has emerged. ey can generate perceptually appealing result conditioned on line art. However,these methods can not be adopted to the task of animation colorization because of the lack of consideration of in-between frame consistency. Existing Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for prot or commercial advantage and that copies bear this notice and the full citation on the rst page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permied. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specic permission and/or a fee. Request permissions from permissions@acm.org."
"Zuheng Ming, J. Burie, Muhammad Muzzamil Luqman",7a49bed6ce511a892737970f361c4990ace75d2a,Cross-modal Multi-task Learning for Graphic Recognition of Caricature Face,ArXiv,2020.0,0,"Face recognition of realistic visual images has been well studied and made a significant progress in the recent decade. Unlike the realistic visual images, the face recognition of the caricatures is far from the performance of the visual images. This is largely due to the extreme non-rigid distortions of the caricatures introduced by exaggerating the facial features to strengthen the characters. The heterogeneous modalities of the caricatures and the visual images result the caricature-visual face recognition is a cross-modal problem. In this paper, we propose a method to conduct caricature-visual face recognition via multi-task learning. Rather than the conventional multi-task learning with fixed weights of tasks, this work proposes an approach to learn the weights of tasks according to the importance of tasks. The proposed multi-task learning with dynamic tasks weights enables to appropriately train the hard task and easy task instead of being stuck in the over-training easy task as conventional methods. The experimental results demonstrate the effectiveness of the proposed dynamic multi-task learning for cross-modal caricature-visual face recognition. The performances on the datasets CaVI and WebCaricature show the superiority over the state-of-art methods."
"Yingyu Liang, Zhao Song, M. Wang, Lin F. Yang, X. Yang",31ede48853bf5aa52bc79e7b6326a06657e7ac3a,Sketching Transformed Matrices with Applications to Natural Language Processing,AISTATS,2020.0,0,"Suppose we are given a large matrix $A=(a_{i,j})$ that cannot be stored in memory but is in a disk or is presented in a data stream. However, we need to compute a matrix decomposition of the entry-wisely transformed matrix, $f(A):=(f(a_{i,j}))$ for some function $f$. Is it possible to do it in a space efficient way? Many machine learning applications indeed need to deal with such large transformed matrices, for example word embedding method in NLP needs to work with the pointwise mutual information (PMI) matrix, while the entrywise transformation makes it difficult to apply known linear algebraic tools. Existing approaches for this problem either need to store the whole matrix and perform the entry-wise transformation afterwards, which is space consuming or infeasible, or need to redesign the learning method, which is application specific and requires substantial remodeling. 
In this paper, we first propose a space-efficient sketching algorithm for computing the product of a given small matrix with the transformed matrix. It works for a general family of transformations with provable small error bounds and thus can be used as a primitive in downstream learning tasks. We then apply this primitive to a concrete application: low-rank approximation. We show that our approach obtains small error and is efficient in both space and time. We complement our theoretical results with experiments on synthetic and real data."
"Haodi Hou, Jing Huo, J. Wu, Yu-Kun Lai, Y. Gao",0498a8d81f1c9521a93ff2a2ffdf7b2411294458,MW-GAN: Multi-Warping GAN for Caricature Generation with Multi-Style Geometric Exaggeration,ArXiv,2020.0,0,"Given an input face photo, the goal of caricature generation is to produce stylized, exaggerated caricatures that share the same identity as the photo. It requires simultaneous style transfer and shape exaggeration with rich diversity, and meanwhile preserving the identity of the input. To address this challenging problem, we propose a novel framework called Multi-Warping GAN (MW-GAN), including a style network and a geometric network that are designed to conduct style transfer and geometric exaggeration respectively. We bridge the gap between the style and landmarks of an image with corresponding latent code spaces by a dual way design, so as to generate caricatures with arbitrary styles and geometric exaggeration, which can be specified either through random sampling of latent code or from a given caricature sample. Besides, we apply identity preserving loss to both image space and landmark space, leading to a great improvement in quality of generated caricatures. Experiments show that caricatures generated by MW-GAN have better quality than existing methods."
"Yugang Chen, Muchun Chen, Chaoyue Song, Bingbing Ni",600b9eced5b9c399cf510dd3d908e97a61fd325f,CartoonRenderer: An Instance-based Multi-Style Cartoon Image Translator,MMM,2020.0,0,"Instance based photo cartoonization is one of the challenging image stylization tasks which aim at transforming realistic photos into cartoon style images while preserving the semantic contents of the photos. State-of-the-art Deep Neural Networks (DNNs) methods still fail to produce satisfactory results with input photos in the wild, especially for photos which have high contrast and full of rich textures. This is due to that: cartoon style images tend to have smooth color regions and emphasized edges which are contradict to realistic photos which require clear semantic contents, i.e., textures, shapes etc. Previous methods have difficulty in satisfying cartoon style textures and preserving semantic contents at the same time. In this work, we propose a novel ""CartoonRenderer"" framework which utilizing a single trained model to generate multiple cartoon styles. In a nutshell, our method maps photo into a feature model and renders the feature model back into image space. In particular, cartoonization is achieved by conducting some transformation manipulation in the feature space with our proposed Soft-AdaIN. Extensive experimental results show our method produces higher quality cartoon style images than prior arts, with accurate semantic content preservation. In addition, due to the decoupling of whole generating process into ""Modeling-Coordinating-Rendering"" parts, our method could easily process higher resolution photos, which is intractable for existing methods."
"Saisubramaniam Gopalakrishnan, Pranshu Ranjan Singh, Yasin Yazici, Chuan-Sheng Foo, V. Chandrasekhar, Arulmurugan Ambikapathi",404252910ac613b89c192555542f0821a3c2ece5,Classification Representations Can be Reused for Downstream Generations,ArXiv,2020.0,0,"Contrary to the convention of using supervision for class-conditioned $\it{generative}$ $\it{modeling}$, this work explores and demonstrates the feasibility of a learned supervised representation space trained on a discriminative classifier for the $\it{downstream}$ task of sample generation. Unlike generative modeling approaches that aim to $\it{model}$ the manifold distribution, we directly $\it{represent}$ the given data manifold in the classification space and leverage properties of latent space representations to generate new representations that are guaranteed to be in the same class. Interestingly, such representations allow for controlled sample generations for any given class from existing samples and do not require enforcing prior distribution. We show that these latent space representations can be smartly manipulated (using convex combinations of $n$ samples, $n\geq2$) to yield meaningful sample generations. Experiments on image datasets of varying resolutions demonstrate that downstream generations have higher classification accuracy than existing conditional generative models while being competitive in terms of FID."
"Hui Su, Jin Fang",a6b0788821ee54940c5518568671ff13320bfaa0,Avatar Artist Using GAN,,2020.0,0,"human sketches would be expressive and abstract at the same time. Generating anime avatars from simple or even bad face drawing is an interesting area. Lots of related work has been done such as auto-coloring sketches to anime or transforming real photos to anime. However, there aren’t many interesting works yet to show how to generate anime avatars from just some simple drawing input. In this project, we propose using GAN to generate anime avatars from sketches."
"K. Akita, Y. Morimoto, R. Tsuruno",ad8adbd99d50320789c06b5a6495b06b449efff0,Colorization of Line Drawings with Empty Pupils,Comput. Graph. Forum,2020.0,0,"Many studies have recently applied deep learning to the automatic colorization of line drawings. However, it is difficult to paint empty pupils using existing methods because the convolutional neural network are trained with pupils that have edges, which are generated from color images using image processing. Most actual line drawings have empty pupils that artists must paint in. In this paper, we propose a novel network model that transfers the pupil details in a reference color image to input line drawings with empty pupils. We also propose a method for accurately and automatically colorizing eyes. In this method, eye patches are extracted from a reference color image and automatically added to an input line drawing as color hints using our pupil position estimation network."
"Wenbo Zheng, Lan Yan, F. Wang, Chao Gou",cfb7b3cd096e571337f6a5fd6a26b94a982ca6d1,"Learning from the Past: Meta-Continual Learning with Knowledge Embedding for Jointly Sketch, Cartoon, and Caricature Face Recognition",ACM Multimedia,2020.0,0,"This paper deals with a challenging task of learning from different modalities by tackling the difficulty problem of jointly face recognition between abstract-like sketches, cartoons, caricatures and real-life photographs. Due to the significant variations in the abstract faces, building vision models for recognizing data from these modalities is an extremely challenging. We propose a novel framework termed as Meta-Continual Learning with Knowledge Embedding to address the task of jointly sketch, cartoon, and caricature face recognition. In particular, we firstly present a deep relational network to capture and memorize the relation among different samples. Secondly, we present the construction of our knowledge graph that relates image with the label as the guidance of our meta-learner. We then design a knowledge embedding mechanism to incorporate the knowledge representation into our network. Thirdly, to mitigate catastrophic forgetting, we use a meta-continual model that updates our ensemble model and improves its prediction accuracy. With this meta-continual model, our network can learn from its past. The final classification is derived from our network by learning to compare the features of samples. Experimental results demonstrate that our approach achieves significantly higher performance compared with other state-of-the-art approaches."
"Puneet Mangla, Nupur Kumari, M. Singh, V. Balasubramanian, Balaji Krishnamurthy",9003b24d61aeb282cd3467fbc46fb1c37a1a0cf2,Data Instance Prior for Transfer Learning in GANs,ArXiv,2020.0,0,"Recent advances in generative adversarial networks (GANs) have shown remarkable progress in generating high-quality images. However, this gain in performance depends on the availability of a large amount of training data. In limited data regimes, training typically diverges, and therefore the generated samples are of low quality and lack diversity. Previous works have addressed training in low data setting by leveraging transfer learning and data augmentation techniques. We propose a novel transfer learning method for GANs in the limited data domain by leveraging informative data prior derived from self-supervised/supervised pre-trained networks trained on a diverse source domain. We perform experiments on several standard vision datasets using various GAN architectures (BigGAN, SNGAN, StyleGAN2) to demonstrate that the proposed method effectively transfers knowledge to domains with few target images, outperforming existing state-of-the-art techniques in terms of image quality and diversity. We also show the utility of data instance prior in large-scale unconditional image generation and image editing tasks."
"Yeongseop Lee, Seongjin Lee",8e8b0174dabf6548f9bbf8050cfd0ee63bc999d6,Automatic Colorization of Anime Style Illustrations Using a Two-Stage Generator,,2020.0,0,"Line-arts are used in many ways in the media industry. However, line-art colorization is tedious, labor-intensive, and time consuming. For such reasons, a Generative Adversarial Network (GAN)-based image-to-image colorization method has received much attention because of its promising results. In this paper, we propose to use color a point hinting method with two GAN-based generators used for enhancing the image quality. To improve the coloring performance of drawing with various line styles, generator takes account of the loss of the line-art. We propose a Line Detection Model (LDM) which is used in measuring line loss. LDM is a method of extracting line from a color image. We also propose histogram equalizer in the input line-art to generalize the distribution of line styles. This approach allows the generalization of the distribution of line style without increasing the complexity of inference stage. In addition, we propose seven segment hint pointing constraints to evaluate the colorization performance of the model with Fréchet Inception Distance (FID) score. We present visual and qualitative evaluations of the proposed methods. The result shows that using histogram equalization and LDM enabled line loss exhibits the best result. The Base model with XDoG (eXtended Difference-Of-Gaussians)generated line-art with and without color hints exhibits FID for colorized images score of 35.83 and 44.70, respectively, whereas the proposed model in the same scenario exhibits 32.16 and 39.77, respectively."
"Damitha Sandeepa Lenadora, Rakhitha Ranathunge, Chamath Samarawickrama, Yumantha De Silva, I. Perera, Anuradha, Welivita",a8e150600931a80aab6433c005aeafad5eb73488,Extraction of Semantic Content and Styles in Comic Books,,2020.0,0,"Digitisation of comic books would play a crucial role in identifying new areas in which digital comics can be used. Currently, existing systems in this domain lack the capacity to achieve complete digitisation. Digitisation requires a thorough analysis of the semantic content within comic books. This can be further sub-categorised as detection and identification of comic book characters, extraction and analysis of panels as well as texts, derivation of associations between characters and speech balloons, and analysis of different styles of reading. This paper provides an overview of using several object-detection models to detect semantic content in comics. This analysis showed that, under the constraint of limited computational capacity, YOLOv3 was the best-suited model out of the models evaluated. A study of text extraction and recognition using Optical Character Recognition, a method for determining associable speech balloons, as well as a distance-based approach for associations between characters and speech balloons are also presented here. This association method provides an increased accuracy compared to the Euclidean distance-based approach. Finally, a study on comic style is provided along with a learning model with an accuracy of 0.89 to analyse the reading order of comics."
"J. Li, Nan Gao, T. Shen, Weitong Zhang, Tao Mei, Hui Ren",728fe8dd3a9cb43da565d6c49d08c39d862e84af,SketchMan: Learning to Create Professional Sketches,ACM Multimedia,2020.0,0,"Human free-hand sketches have been studied in various fields including sketch recognition, synthesis and sketch-based image retrieval. We propose a new challenging task sketch enhancement (SE) defined in an ill-posed space, i.e. enhancing a non-professional sketch (NPS) to a professional sketch (PS), which is a creative generation task different from sketch abstraction, sketch completion and sketch variation. For the first time we release a database of NPS with PS for anime characters. We cast sketch enhancement as an image-to-image translation problem by exploiting the relationship to corresponding intensive or sparse pixel domains for sketch domain. Specifically, we explore three different routines based on conditional generative adversarial network (cGAN), i.e. Sketch-Sketch (SS), Sketch-Colorization-Sketch (SCS) and Sketch-Abstraction-Sketch (SAS). SS is a one-stage model that directly maps NPS to PS, while SCS and SAS are two-stage models where auxiliary inputs, grayscale parsing and shape parsing, are involved. Multiple metrics are used to evaluate the performance of the models in both the sketch domain and other low-level feature domains. With quantitative and qualitative analysis of the experiments, we have established solid baselines, which, we hope, could encourage more research conducted on this task. Our dataset is publicly available via https://github.com/LCXCUC/SketchMan2020."
"Rameen Abdal, Yipeng Qin, Peter Wonka",62931b3e0dce8748364e19c87ef318e22ec59c7f,Image2StyleGAN: How to Embed Images Into the StyleGAN Latent Space?,2019 IEEE/CVF International Conference on Computer Vision (ICCV),2019.0,200,"We propose an efficient algorithm to embed a given image into the latent space of StyleGAN. This embedding enables semantic image editing operations that can be applied to existing photographs. Taking the StyleGAN trained on the FFHD dataset as an example, we show results for image morphing, style transfer, and expression transfer. Studying the results of the embedding algorithm provides valuable insights into the structure of the StyleGAN latent space. We propose a set of experiments to test what class of images can be embedded, how they are embedded, what latent space is suitable for embedding, and if the embedding is semantically meaningful."
"Aliaksandr Siarohin, Stéphane Lathuilière, S. Tulyakov, E. Ricci, N. Sebe",edce7f037c840b7db2612f47c35ae374c4a80e3a,Animating Arbitrary Objects via Deep Motion Transfer,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2019.0,89,"This paper introduces a novel deep learning framework for image animation. Given an input image with a target object and a driving video sequence depicting a moving object, our framework generates a video in which the target object is animated according to the driving sequence. This is achieved through a deep architecture that decouples appearance and motion information. Our framework consists of three main modules: (i) a Keypoint Detector unsupervisely trained to extract object keypoints, (ii) a Dense Motion prediction network for generating dense heatmaps from sparse keypoints, in order to better encode motion information and (iii) a Motion Transfer Network, which uses the motion heatmaps and appearance information extracted from the input image to synthesize the output frames. We demonstrate the effectiveness of our method on several benchmark datasets, spanning a wide variety of object appearances, and show that our approach outperforms state-of-the-art image animation and video generation methods."
"Young-Sim Jo, Jongyoul Park",c4230706b89529bb136e3c00ee7fb01f9d8d77b0,SC-FEGAN: Face Editing Generative Adversarial Network With User’s Sketch and Color,2019 IEEE/CVF International Conference on Computer Vision (ICCV),2019.0,88,"We present a novel image editing system that generates images as the user provides free-form masks, sketches and color as inputs. Our system consists of an end-to-end trainable convolutional network. In contrast to the existing methods, our system utilizes entirely free-form user input in terms of color and shape. This allows the system to respond to the user’s sketch and color inputs, using them as guidelines to generate an image. In this work, we trained the network with an additional style loss, which made it possible to generate realistic results despite large portions of the image being removed. Our proposed network architecture SC-FEGAN is well suited for generating high-quality synthetic images using intuitive user inputs."
"K. Westfall, M. Cappellari, M. Bershady, K. Bundy, F. Belfiore, X. Ji, D. Law, A. Schaefer, S. Shetty, C. Tremonti, R. Yan, B. Andrews, J. Brownstein, B. Cherinka, L. Coccato, N. Drory, C. Maraston, T. Parikh, J. S'anchez-Gallego, Daniel I. Thomas, A. Weijmans, J. Barrera-Ballesteros, Cheng Du, D. Goddard, N. Li, K. Masters, Hector Javier Ibarra Medel, S. S'anchez, Meng Yang, Zheng Zheng, S. Zhou",43346e850e0e31af392c57172838bf6fc35227cb,The data analysis pipeline for the SDSS-IV MaNGA IFU Galaxy Survey : overview,,2019.0,55,"Mapping Nearby Galaxies at Apache Point Observatory (MaNGA) is acquiring integral-field spectroscopy for the largest sample of galaxies to date. By 2020, the MaNGA Survey --- one of three core programs in the fourth-generation Sloan Digital Sky Survey (SDSS-IV) --- will have observed a statistically representative sample of 10$^4$ galaxies in the local Universe ($z\lesssim0.15$). In addition to a robust data-reduction pipeline (DRP), MaNGA has developed a data-analysis pipeline (DAP) that provides higher-level data products. To accompany the first public release of its code base and data products, we provide an overview of the MaNGA DAP, including its software design, workflow, measurement procedures and algorithms, performance, and output data model. In conjunction with our companion paper Belfiore et al., we also assess the DAP output provided for 4718 observations of 4648 unique galaxies in the recent SDSS Data Release 15 (DR15). These analysis products focus on measurements that are close to the data and require minimal model-based assumptions. Namely, we provide stellar kinematics (velocity and velocity dispersion), emission-line properties (kinematics, fluxes, and equivalent widths), and spectral indices (e.g., D4000 and the Lick indices). We find that the DAP provides robust measurements and errors for the vast majority ($>$99%) of analyzed spectra. We summarize assessments of the precision and accuracy of our measurements as a function of signal-to-noise, and provide specific guidance to users regarding the limitations of the data. The MaNGA DAP software is publicly available and we encourage community involvement in its development."
"Konstantinos Vougioukas, S. Petridis, M. Pantic",f06ab43069480c09d7170075a6ea74669a71f139,Realistic Speech-Driven Facial Animation with GANs,International Journal of Computer Vision,2019.0,54,"Speech-driven facial animation is the process that automatically synthesizes talking characters based on speech signals. The majority of work in this domain creates a mapping from audio features to visual features. This approach often requires post-processing using computer graphics techniques to produce realistic albeit subject dependent results. We present an end-to-end system that generates videos of a talking head, using only a still image of a person and an audio clip containing speech, without relying on handcrafted intermediate features. Our method generates videos which have (a) lip movements that are in sync with the audio and (b) natural facial expressions such as blinks and eyebrow movements. Our temporal GAN uses 3 discriminators focused on achieving detailed frames, audio-visual synchronization, and realistic expressions. We quantify the contribution of each component in our model using an ablation study and we provide insights into the latent representation of the model. The generated videos are evaluated based on sharpness, reconstruction quality, lip-reading accuracy, synchronization as well as their ability to generate natural blinks."
